Rank,Skill,Individual Reach,Reach %,Cumulative Reach,Cumulative %
1,python (computer programming),110,25.5,110,25.5
2,computer engineering,90,20.9,184,42.7
3,tools for software configuration management,68,15.8,222,51.5
4,sql,75,17.4,251,58.2
5,automation technology,40,9.3,275,63.8
6,software metrics,76,17.6,293,68.0
7,agile development,57,13.2,310,71.9
8,devops,60,13.9,324,75.2
9,solve technical problems,43,10.0,336,78.0
10,execute software tests,56,13.0,345,80.0
11,design application interfaces,41,9.5,353,81.9
12,nosql,40,9.3,361,83.8
13,javascript,41,9.5,367,85.2
14,c#,36,8.4,372,86.3
15,ict infrastructure,25,5.8,377,87.5
