Rank,Skill,Individual Reach,Reach %,Cumulative Reach,Cumulative %
1,resource-efficient technologies,16,3.7,16,3.7
2,impact investing,11,2.6,27,6.3
3,produce sustainable products,11,2.6,38,8.8
4,collaborate on international energy projects,8,1.9,45,10.4
5,seek innovation in current practices,10,2.3,51,11.8
6,detect bottlenecks,6,1.4,56,13.0
7,corporate sustainability,6,1.4,61,14.2
8,social entreprise,6,1.4,66,15.3
9,sustainable technologies,7,1.6,70,16.2
10,environmental management standards,5,1.2,74,17.2
