skill,count,percent
develop production line,143,33.2
design graphics,135,31.3
assume responsibility,130,30.2
python (computer programming),110,25.5
think analytically,109,25.3
solve problems,92,21.3
computer engineering,90,20.9
design customer experiences,89,20.6
interact with users to gather requirements,85,19.7
software metrics,76,17.6
solution deployment,76,17.6
sql,75,17.4
provide user documentation,71,16.5
write job descriptions,70,16.2
communication,69,16.0
tools for software configuration management,68,15.8
devops,60,13.9
manage a team,58,13.5
agile development,57,13.2
innovation processes,57,13.2
execute software tests,56,13.0
application process,55,12.8
communicate with stakeholders,54,12.5
java (computer programming),54,12.5
postgresql,54,12.5
think creatively,53,12.3
coordinate security,52,12.1
develop new products,52,12.1
training subject expertise,50,11.6
teach computer science,48,11.1
