skill,count,percent
python (computer programming),110,25.5
computer engineering,90,20.9
software metrics,76,17.6
solution deployment,76,17.6
sql,75,17.4
tools for software configuration management,68,15.8
devops,60,13.9
agile development,57,13.2
execute software tests,56,13.0
java (computer programming),54,12.5
postgresql,54,12.5
teach computer science,48,11.1
solve technical problems,43,10.0
debug software,43,10.0
javascript,41,9.5
design application interfaces,41,9.5
automation technology,40,9.3
nosql,40,9.3
use scripting programming,38,8.8
systems development life-cycle,38,8.8
data models,37,8.6
design cloud architecture,37,8.6
c#,36,8.4
conduct ict code review,35,8.1
data analytics,35,8.1
principles of artificial intelligence,34,7.9
e-commerce systems,34,7.9
data quality assessment,33,7.7
work with e-services available to citizens,33,7.7
database,28,6.5
