skill,count,percent
develop production line,143,33.2
design graphics,135,31.3
assume responsibility,130,30.2
think analytically,109,25.3
solve problems,92,21.3
design customer experiences,89,20.6
interact with users to gather requirements,85,19.7
provide user documentation,71,16.5
write job descriptions,70,16.2
communication,69,16.0
manage a team,58,13.5
innovation processes,57,13.2
application process,55,12.8
communicate with stakeholders,54,12.5
think creatively,53,12.3
coordinate security,52,12.1
develop new products,52,12.1
training subject expertise,50,11.6
communicate with customers,47,10.9
aerospace engineering,46,10.7
teach communication methods,43,10.0
demonstrate curiosity,43,10.0
english,43,10.0
promote good habits to avoid communication disorders,40,9.3
apply requirements concerning manufacturing of food and beverages,37,8.6
mathematics,37,8.6
act reliably,36,8.4
recruit personnel,36,8.4
think innovatively,36,8.4
implement relevant technical skills to perform at the highest level in sport,35,8.1
