skill,count,percent
resource-efficient technologies,16,3.7
impact investing,11,2.6
produce sustainable products,11,2.6
seek innovation in current practices,10,2.3
ecosystem management,9,2.1
collaborate on international energy projects,8,1.9
promote sustainable energy,7,1.6
sustainable technologies,7,1.6
detect bottlenecks,6,1.4
corporate sustainability,6,1.4
promote sustainability,6,1.4
social entreprise,6,1.4
environmental management standards,5,1.2
sustainable development goals,5,1.2
promote environmental awareness,4,0.9
domestic cooling systems,4,0.9
urban sustainability,4,0.9
abide by regulations on banned materials,4,0.9
safety engineering,4,0.9
social alliances,4,0.9
develop improvements to the electrical systems,3,0.7
green building standards,2,0.5
use sustainable materials and components,2,0.5
develop innovative mobility solutions,2,0.5
process harvested honey,2,0.5
perform studies and field investigation,2,0.5
hybrid vehicle architecture,2,0.5
promote responsible consumer behaviour,2,0.5
engage others in environment friendly behaviours,2,0.5
develop environmental remediation strategies,2,0.5
